Titles,Date2_x,pm2.5_atm_a
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 00:00:00,10.526
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 01:00:00,9.315
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 02:00:00,9.201
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 03:00:00,10.41
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 04:00:00,9.502
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 05:00:00,9.364
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 06:00:00,10.633
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 07:00:00,11.241
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 08:00:00,9.322
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 09:00:00,10.416
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 10:00:00,10.412
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 11:00:00,7.817
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 13:00:00,8.638
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 14:00:00,10.082
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 15:00:00,10.322
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 16:00:00,9.824
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 18:00:00,9.293
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 19:00:00,10.132
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 20:00:00,10.573
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 21:00:00,13.274
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 22:00:00,17.814
Πάτρα: Τροχαίο στην Ελ. Βενιζέλου- Διακόπηκε η κυκλοφορία,2022-04-22 23:00:00,16.718
