,Title,time_stamp,pm2.5_atm_a
0,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 00:00:00,139.044
1,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 01:00:00,126.28
2,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 02:00:00,147.599
3,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 03:00:00,203.865
4,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 04:00:00,219.203
5,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 05:00:00,157.009
6,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 06:00:00,4.601
7,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 07:00:00,3.039
8,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 08:00:00,4.635
9,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 09:00:00,2.658
10,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 10:00:00,3.331
11,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 11:00:00,3.325
12,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 12:00:00,4.023
13,Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,2023-04-14 13:00:00,5.968
