time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-01-01T00:00:00Z,51.067,51.067,,57.567,57.567,,1023.761,1023.761,,,,,0.01,9.7,9.4,10.1,35.0,33.8,36.2,16.5,16.2,16.8,75.0,77.1,73.0,2334.7655,2255.57,2413.961,660.6725,650.191,671.154,88.123,85.191,91.055,7.246,8.223,6.269,1.2405,1.283,1.198,0.527,0.528,0.526,13.785499999999999,13.889,13.682,13.6495,13.74,13.559,19.0425,19.058,19.027,19.165,19.184,19.146,20.65,20.683,20.617,20.6505,20.683,20.618
2023-01-01T01:00:00Z,51.367,51.367,,57.0,57.0,,1023.652,1023.652,,,,,0.01,7.7,7.6,7.9,27.5,27.0,28.1,14.6,14.4,14.7,90.6,92.1,89.3,1834.6695,1797.702,1871.637,519.5585,517.496,521.621,70.81049999999999,69.932,71.689,6.1545000000000005,7.03,5.279,1.063,1.023,1.103,0.376,0.384,0.368,12.5805,14.655,10.506,11.939,13.372,10.506,16.108,17.609,14.607,16.755499999999998,18.904,14.607,17.4525,18.992,15.913,18.101,20.289,15.913
2023-01-01T02:00:00Z,50.466,50.466,,57.0,57.0,,1023.471,1023.471,,,,,0.01,6.5,6.5,6.6,23.5,23.2,23.8,13.4,13.3,13.5,102.2,103.1,101.2,1565.1885,1545.347,1585.03,442.28499999999997,444.493,440.077,59.629999999999995,58.975,60.285,5.1965,5.628,4.765,0.873,0.861,0.885,0.305,0.308,0.302,11.1225,13.457,8.788,10.417,12.046,8.788,13.795,15.413,12.177,14.5075,16.838,12.177,14.8795,16.475,13.284,15.592500000000001,17.901,13.284
2023-01-01T03:00:00Z,49.533,49.533,,56.666,56.666,,1023.244,1023.244,,,,,0.01,5.6,5.4,5.8,20.8,20.1,21.5,12.5,12.3,12.8,111.5,114.1,108.9,1388.1934999999999,1343.175,1433.212,391.09000000000003,385.741,396.439,49.0145,47.56,50.469,4.1815,4.533,3.83,0.7745,0.785,0.764,0.2915,0.278,0.305,8.5715,9.54,7.603,8.2845,8.966,7.603,11.267,11.787,10.747,11.5555,12.364,10.747,12.155000000000001,12.712,11.598,12.443999999999999,13.29,11.598
2023-01-01T04:00:00Z,50.933,50.933,,55.633,55.633,,1023.587,1023.587,,,,,0.01,5.2,5.1,5.3,18.7,18.4,19.0,11.8,11.6,11.9,120.2,121.7,118.7,1246.8285,1224.45,1269.207,353.052,352.077,354.027,47.7195,47.977,47.462,5.053,6.602,3.504,0.73,0.883,0.577,0.28300000000000003,0.332,0.234,31.781000000000002,56.862,6.7,23.351000000000003,40.002,6.7,26.3525,43.116,9.589,34.8525,60.116,9.589,27.197000000000003,44.09,10.304,35.707499999999996,61.111,10.304
2023-01-01T05:00:00Z,50.566,50.566,,55.633,55.633,,1023.996,1023.996,,,,,0.01,7.7,7.5,7.9,27.4,26.9,27.8,14.5,14.4,14.7,91.0,92.2,89.9,1824.4679999999998,1794.032,1854.904,516.098,516.222,515.974,72.2765,71.415,73.138,7.241,9.067,5.415,0.973,0.972,0.974,0.3775,0.364,0.391,32.5005,54.444,10.557,24.892,39.43,10.354,29.380499999999998,44.159,14.602,37.1215,59.344,14.899,30.789499999999997,45.553,16.026,38.3735,60.588,16.159
2023-01-01T06:00:00Z,51.8,51.8,,55.267,55.267,,1024.389,1024.389,,,,,0.01,12.7,12.4,12.9,43.8,43.0,44.5,18.3,18.2,18.5,62.4,63.3,61.5,2918.2975,2869.306,2967.289,825.5799999999999,822.062,829.098,124.91149999999999,127.127,122.696,14.489,19.023,9.955,2.1145,2.235,1.994,0.8380000000000001,0.764,0.912,57.839,98.119,17.559,43.172,69.682,16.662,51.1445,78.209,24.08,66.4645,107.601,25.328,54.5075,81.635,27.38,69.133,110.325,27.941
2023-01-01T07:00:00Z,48.966,48.966,,60.267,60.267,,1024.454,1024.454,,,,,0.01,17.0,16.5,17.5,60.8,58.8,62.7,21.2,20.9,21.4,47.0,48.4,45.7,4051.4719999999998,3920.756,4182.188,1147.3490000000002,1130.164,1164.534,156.169,154.609,157.729,14.1465,17.682,10.611,1.9580000000000002,2.007,1.909,0.754,0.766,0.742,25.7965,27.684,23.909,22.582,23.924,21.24,31.570999999999998,33.204,29.938,35.2805,37.569,32.992,35.562,37.325,33.799,37.6515,39.998,35.305
2023-01-01T08:00:00Z,43.767,43.767,,64.633,64.633,,1024.521,1024.521,,,,,0.01,18.9,18.4,19.4,67.0,65.4,68.5,22.0,21.8,22.2,43.2,44.1,42.3,4463.527,4358.653,4568.401,1268.882,1264.537,1273.227,174.9965,172.249,177.744,15.615,18.991,12.239,2.1905,2.076,2.305,0.768,0.692,0.844,25.7035,26.411,24.996,23.454,23.946,22.962,33.857,34.579,33.135,35.981,36.951,35.011,38.418,39.341,37.495,38.432,39.356,37.508
2023-01-01T09:00:00Z,38.433,38.433,,67.434,67.434,,1024.245,1024.245,,,,,0.01,15.1,14.9,15.3,54.4,53.5,55.4,20.2,20.0,20.3,51.8,52.6,51.0,3629.724,3564.967,3694.481,1028.8295,1031.575,1026.084,137.791,138.304,137.278,11.9575,14.719,9.196,1.54,1.506,1.574,0.5675,0.537,0.598,20.0795,20.694,19.465,19.057000000000002,19.57,18.544,26.8395,27.591,26.088,27.9015,28.823,26.98,29.573999999999998,30.439,28.709,29.6785,30.573,28.784
