Title,humidity,temperature,pressure,voc,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,data_cleaned
Πάτρα: Πλήθος πιστών στην περιφορά του Επιταφίου στον Ιερό Ναό Αγίου Ελευθερίου-ΒΙΝΤΕΟ&ΦΩΤΟ,48.233,66.0,1004.197,,0.01,5.9,5.7,6.1,21.8,20.8,22.7,12.8,12.5,13.2,108.0,111.5,104.7,1450.9085,1387.106,1514.711,412.6245,399.956,425.293,55.751000000000005,59.529,51.973,7.8535,12.497,3.21,0.7025,0.72,0.685,0.251,0.215,0.287,104.239,200.79,7.688,71.386,135.084,7.688,74.622,139.044,10.2,107.7105,205.221,10.2,75.31150000000001,139.717,10.906,108.4415,205.977,10.906,πάτρα πλήθος πιστών περιφορά επιταφίου ιερό ναό αγίου ελευθερίουβιντεοφωτο
0,46.591,66.533,1003.625,,0.01,5.3,5.1,5.5,19.5,18.7,20.3,12.1,11.8,12.3,116.8,120.0,113.7,1300.064,1249.76,1350.368,369.2915,361.111,377.472,51.246,54.943,47.549,7.9565,12.498,3.415,0.719,0.813,0.625,0.2895,0.328,0.251,94.324,181.967,6.681,64.57300000000001,122.465,6.681,67.6715,126.28,9.063,97.63,186.197,9.063,68.393,126.981,9.805,98.393,186.981,9.805,
0,46.867,66.0,1003.603,,0.01,5.8,5.6,6.1,21.6,20.7,22.5,12.8,12.5,13.1,108.5,111.8,105.4,1440.885,1382.623,1499.147,408.9535,397.683,420.224,56.067,59.05,53.084,8.9675,14.273,3.662,0.7585,0.79,0.727,0.289,0.317,0.261,110.503,213.462,7.544,75.4835,143.423,7.544,78.881,147.599,10.163,114.1785,218.194,10.163,79.62,148.315,10.925,114.9615,218.998,10.925,
0,44.733,64.933,1003.355,,0.01,4.4,4.3,4.4,16.3,15.8,16.8,10.8,10.6,11.0,132.0,134.7,129.5,1085.5455,1053.09,1118.001,306.27,302.307,310.233,44.055,50.43,37.68,8.777000000000001,14.564,2.99,0.7789999999999999,0.861,0.697,0.289,0.357,0.221,152.5005,299.71,5.291,102.695,200.099,5.291,105.56,203.865,7.255,155.758,304.261,7.255,106.2365,204.569,7.904,156.5055,305.107,7.904,
0,43.633,64.934,1003.821,,0.01,4.0,4.0,4.0,15.2,14.8,15.7,10.4,10.2,10.6,137.9,140.7,135.1,1015.988,984.055,1047.921,287.477,283.009,291.945,39.237,46.532,31.942,8.294,14.121,2.467,0.654,0.759,0.549,0.254,0.322,0.186,164.12650000000002,323.309,4.944,110.2965,215.649,4.944,112.8795,219.203,6.556,167.1,327.644,6.556,113.4475,219.799,7.096,167.726,328.356,7.096,
0,43.967,67.0,1004.636,,0.01,7.7,7.2,8.2,28.9,26.8,30.9,15.0,14.4,15.5,87.4,92.6,82.7,1923.4545,1784.086,2062.823,541.8199999999999,511.931,571.709,71.1705,73.148,69.193,9.5985,14.717,4.48,0.9565,1.02,0.893,0.36,0.4,0.32,118.275,226.067,10.483,81.4425,152.402,10.483,85.44649999999999,157.009,13.884,122.6225,231.361,13.884,86.3795,157.892,14.867,123.622,232.377,14.867,
0,29.583,75.2,1003.927,,0.01,3.2,3.0,3.5,13.4,12.2,14.7,9.6,9.0,10.2,149.4,158.5,141.3,894.516,811.492,977.54,248.7115,229.404,268.019,24.6625,23.633,25.692,1.8935,2.075,1.712,0.3725,0.391,0.354,0.123,0.143,0.103,3.813,3.49,4.136,3.8125,3.49,4.135,4.9955,4.601,5.39,4.9955,4.601,5.39,5.3795,4.985,5.774,5.3795,4.985,5.774,
0,23.4,78.7,1003.657,,0.01,2.3,2.1,2.4,9.0,8.4,9.7,7.4,7.0,7.7,187.0,194.5,180.1,603.0935,558.374,647.813,168.2835,157.556,179.011,17.941499999999998,17.621,18.262,1.535,1.628,1.442,0.3329999999999999,0.29,0.376,0.101,0.082,0.12,2.293,2.155,2.431,2.293,2.155,2.431,3.199,3.039,3.359,3.199,3.039,3.359,3.5205,3.337,3.704,3.5205,3.337,3.704,
0,28.5,77.867,1003.557,,0.01,3.2,3.0,3.5,13.0,11.9,14.1,9.4,8.9,9.9,152.1,160.3,144.8,868.5605,795.895,941.226,243.553,225.718,261.388,25.1225,23.962,26.283,1.8815,2.063,1.7,0.372,0.41,0.334,0.1315,0.14,0.123,3.789,3.476,4.102,3.789,3.476,4.102,5.002,4.635,5.369,5.002,4.635,5.369,5.3655,5.027,5.704,5.3655,5.027,5.704,
0,21.466,82.767,1002.878,,0.01,2.1,1.9,2.2,8.9,8.1,9.6,7.2,6.8,7.7,189.1,198.0,180.9,590.2835,538.715,641.852,163.8915,151.769,176.014,14.656,13.914,15.398,1.1455000000000002,1.203,1.088,0.2145,0.206,0.223,0.089,0.082,0.096,2.228,1.99,2.466,2.228,1.99,2.466,2.9325,2.658,3.207,2.9325,2.658,3.207,3.16,2.884,3.436,3.16,2.884,3.436,
